,Artists,artist_uri,Songs,danceability,energy,genre
160,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,To Be Alone,0.558,0.433,"['irish singer-songwriter', 'pop']"
161,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,From Eden,0.395,0.676,"['irish singer-songwriter', 'pop']"
162,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,In A Week,0.481,0.26,"['irish singer-songwriter', 'pop']"
163,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Sedated,0.66,0.61,"['irish singer-songwriter', 'pop']"
164,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Work Song,0.432,0.388,"['irish singer-songwriter', 'pop']"
165,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Like Real People Do,0.569,0.183,"['irish singer-songwriter', 'pop']"
166,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,It Will Come Back,0.36,0.441,"['irish singer-songwriter', 'pop']"
167,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Foreigner's God,0.522,0.458,"['irish singer-songwriter', 'pop']"
168,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Cherry Wine - Live,0.418,0.111,"['irish singer-songwriter', 'pop']"
169,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,In The Woods Somewhere,0.354,0.426,"['irish singer-songwriter', 'pop']"
170,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Run,0.355,0.394,"['irish singer-songwriter', 'pop']"
171,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Arsonist's Lullabye,0.281,0.426,"['irish singer-songwriter', 'pop']"
172,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,My Love Will Never Die,0.613,0.0532,"['irish singer-songwriter', 'pop']"
173,Luke Christopher,spotify:artist:787bCXOIvGeBw0Bc4kEjhD,Lot to Learn,0.405,0.846,"['indie pop rap', 'pop rap']"
